idJugada,descripcion_limpia
0,MISS Putback Slam Dunk
1,N'Dong Dunk
2,MISS Driving Jump Shot
3,Yuezhuo FOUL
4,MISS 3PT Fadeaway Bank Shot
5,Violation Lane
6,zhi Jump Shot
7,MISS 3PT Driving Hook Shot
8,SUB Tompkins FOR
9,Jump McClellan Tip to
10,MISS Jump Bank Hook Shot
11,SUB Renfroe FOR
12,3PT Shot
13,MISS 3PT Pullup Bank Shot
14,Fadeaway Bank Shot
15,Running Reverse Dunk Shot
16,MISS 3PT Turnaround Fadeaway Bank Jump Shot
17,MISS Hook Shot
18,MISS Jump Bank Shot
19,No Shot
20,Out of Bounds Bad Pass Turnover Turnover
21,3PT Finger Roll
22,Poss Lost Turnover
23,Turnover Turnover
24,Kanter Poss Lost Turnover
25,Lima BLOCK
26,from Below Turnover
27,Ejection Second Technical
28,zhi Traveling Turnover
29,3PT Pullup Jump Shot
30,Jump Hook Shot
31,MISS Running Alley Oop Layup Shot
32,MISS 3PT Dunk
33,MISS Free Throw Technical
34,3PT Running Jump Shot
35,5 Second Violation Turnover
36,zhi Hook Shot
37,Layup
38,3PT Driving Floating Jump Shot
39,Floating Jump Shot
40,Running Alley Oop Layup Shot
41,Step Back Jump Shot
42,zhi REBOUND
43,Driving Floating Jump Shot
44,Non Unsportsmanlike
45,SUB zhi FOR
46,Shot
47,3PT Hook Shot
48,3PT Turnaround Jump Shot
49,MISS 3PT Finger Roll Layup
50,MISS Driving Floating Bank Jump Shot
51,Running Bank Shot
52,MISS 3PT Reverse Layup
53,MISS 3PT Hook Shot
54,MISS 3PT Step Back Jump Shot
55,Putback Slam Dunk
56,Turnaround Bank Shot
57,3PT Fadeaway Bank Shot
58,Kanter Cutting Layup Shot
59,Kanter Out of Bounds Lost Turnover
60,MISS 3PT Finger Roll
61,MISS zhi Tip Shot
62,SUB FOR Yuezhuo
63,HANGING FOUL
64,Illegal Assist Turnover
65,MISS zhi Turnaround Jump Shot
66,Kanter Driving Floating Bank Jump Shot
67,Running Hook Shot
68,Seung Jin Layup
69,Driving Bank Hook Shot
70,MISS Cutting Layup Shot
71,SUB Kanter FOR
72,zhi Poss Lost Turnover
73,3PT Driving Jump Shot
74,Free Throw Technical
75,MISS Driving Finger Roll Layup
76,MISS Layup
77,Kanter Jump Shot
78,MISS Free Throw Clear Path
79,MISS Driving Slam Dunk
80,McClellan Driving Floating Jump Shot
81,Jump Kanter Tip to Kanter
82,Kanter Violation Kicked
83,MISS zhi Free Throw
84,Pendergraph Poss Lost Turnover
85,Violation No Violation
86,SUB FOR McClellan
87,SUB FOR zhi
88,FLAGRANT TYPE1
89,MISS McKinney Free Throw
90,zhi BLOCK
91,MISS 3PT Driving Floating Bank Jump Shot
92,MISS 3PT Step Back Bank Jump Shot
93,Reverse Layup
94,SUB FOR N'Dong
95,SUB FOR Yue
96,Jump N'Dong Tip to
97,Jump Tip to Yue
98,Kanter 3PT Jump Shot
99,Kanter Floating Jump Shot
100,MISS Hook Bank Shot
101,Seung Jin Driving Finger Roll
102,Seung Jin Dunk
103,Seung Jin Lost Turnover
104,3PT Putback Layup
105,MISS Step Back Jump Shot
106,MISS zhi Jump Shot
107,MISS Pullup Bank Shot
108,Yue Jump Shot
109,Kanter Dunk
110,MISS zhi Running Jump Shot
111,Violation Double Lane
112,Running Jump Shot
113,Yue Layup
114,Driving Floating Bank Jump Shot
115,Out of Bounds Lost Turnover
116,SUB FOR
117,Ejection No Ejection
118,Follow Up Dunk
119,N'Dong Turnaround Jump Shot
120,Pendergraph Layup
121,Running Slam Dunk
122,MISS Shot
123,Jump Tip to
124,Alley Oop Layup
125,Isolation Violation Turnover
126,Pendergraph Turnaround Fadeaway
127,MISS Running Bank Hook Shot
128,REBOUND
129,Foul Turnover
130,MISS 3PT Driving Floating Jump Shot
131,MISS Free Throw Flagrant
132,SUB Arna FOR
133,Lost Turnover
134,McClellan Driving Layup
135,MISS 3PT Turnaround Jump Shot
136,3PT Running Bank Shot
137,Driving Layup
138,Pendergraph Step Back Jump Shot
139,MISS 3PT Turnaround Bank Shot
140,Unknown Turnover
141,MISS Running Alley Oop Dunk Shot
142,Turnaround Fadeaway Bank Jump Shot
143,Turnaround Hook Shot
144,Foul
145,MISS zhi Dunk
146,3PT Step Back Bank Jump Shot
147,STEAL
148,3PT Running Bank Hook Shot
149,Pendergraph Driving Dunk
150,Pendergraph Hook Shot
151,Running Finger Roll Layup
152,Driving Hook Shot
153,Running Alley Oop Dunk Shot
154,zhi Turnaround Jump Shot
